id,category
1,قصاصات عن السياسة
2,قصاصات عن الصحافة
3,قصاصات عن (روعة) الزواج والعيال
4,قصاصات عن البشر الظرفاء
5,قصاصات عن الفنون
6,قصاصات عن الكمبيوتر
7,قصاصات عنهن
8,قصاصات عن الفلوس غير الموجودة
9,قصاصات عن الطب
10,قصاصات عن.. عن.. لا أدري بالضبط
11,قصاصات لم تنشر بعد
12,تويتات أدبية
13,تويتات دينية
14,تويتات اقتصادية
15,تويتات عاطفية
16,تويتات تربوية
17,تويتات فنية
18,تويتات سياسية
19,تويتات حاسوبية
20,تويتات عن الناس
21,تويتات علمية
22,خواطر سطحية سخيفة عن الحياة والبشر
23,خواطر سطحية سخيفة عن الكتابة
24,خواطر سطحية سخيفة عن الفنون
25,خواطر سطحية سخيفة عن الحب
26,خواطر سطحية سخيفة عن البشر
27,خواطر سطحية سخيفة عن السياسة
28,خواطر سطحية سخيفة عن الدين والفلسفة
29,خواطر سطحية سخيفة عن الاقتصاد
30,خواطر سطحية سخيفة عن الطب
